UDI;Product ID;Type;Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Failure Type
8525;L55704;L;298.3;309.4;1468;46.2;10;No Failure
7827;L55006;L;299.8;311.1;1300;64.2;165;No Failure
6649;L53828;L;301.5;310.4;1488;41.1;151;No Failure
3619;L50798;L;301.9;311.1;1448;46.3;14;No Failure
8496;L55675;L;298.3;309.4;1668;27.1;136;No Failure
5322;M20181;M;303.4;312.7;1576;49.9;28;No Failure
2488;H31901;H;298.9;308.6;1623;31;180;No Failure
6941;H36354;H;300.8;311.4;1453;44.6;38;No Failure
7348;L54527;L;299.6;310.2;1627;36.6;17;No Failure
4356;H33769;H;302;309.8;1280;57.3;147;Heat Dissipation Failure
9672;L56851;L;299;310.2;1412;44.1;246;No Failure
6925;L54104;L;301.2;311.6;1461;52.9;208;Overstrain Failure
8826;M23685;M;297.3;308.8;1548;41.3;140;No Failure
3419;H32832;H;301.6;310.6;1555;40.4;139;No Failure
3764;L50943;L;302.3;311;1428;47.9;174;No Failure
2629;H32042;H;299.9;309.6;1410;51.2;98;No Failure
1827;H31240;H;297.8;307.3;1516;40.1;166;No Failure
9998;M24857;M;299;308.6;1645;33.4;22;No Failure
7279;H36692;H;300;310.1;1714;28.7;55;No Failure
9681;L56860;L;299.1;310.1;1894;24.2;22;No Failure
5986;L53165;L;300.7;310.7;1314;42.4;198;No Failure
1394;L48573;L;299.1;310.4;1594;33.3;147;No Failure
8139;L55318;L;299.5;310.8;1356;54.9;72;No Failure
1630;M16489;M;297.9;307.9;1336;54.4;82;No Failure
451;M15310;M;297.6;308.7;1419;41.7;81;No Failure
6455;L53634;L;300.7;310.1;1598;32.8;79;No Failure
9903;H39316;H;298.7;309.3;1402;45.3;190;No Failure
2165;L49344;L;299.6;309.2;1540;36.7;221;No Failure
9012;M23871;M;297.2;307.9;1530;35.9;197;No Failure
9257;L56436;L;298.2;309.1;1569;35.2;199;No Failure
4791;L51970;L;303.8;312.8;1443;40.7;145;No Failure
3090;H32503;H;300.1;309.3;1520;38.2;158;No Failure
4645;L51824;L;303.2;311.4;1514;41.2;230;No Failure
9460;L56639;L;298.4;309.1;1579;36.1;123;No Failure
8789;L55968;L;297.4;308.5;1369;53.2;43;No Failure
4615;H34028;H;303;311.2;1503;37;152;No Failure
6369;M21228;M;300;309.6;1423;48.7;67;No Failure
8602;H38015;H;297.4;308.2;1359;46.9;199;No Failure
249;L47428;L;298;308.3;1362;56.8;216;Overstrain Failure
9530;L56709;L;299.1;310.3;1459;46.7;84;No Failure
2897;M17756;M;300.7;309.5;1633;31.3;90;No Failure
7625;L54804;L;300.6;311.7;1507;45.5;74;No Failure
1843;H31256;H;297.7;307.1;1855;22.5;7;No Failure
4831;L52010;L;303.5;312;1756;29.7;28;No Failure
8775;M23634;M;297.6;308.7;1408;51.5;4;No Failure
